Region/Country/Area,Land,Year,Series,Value,Footnotes,Source
756,Switzerland,2010,Arable land (% of total land area),10.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2010,Permanent crops (% of total land area),0.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2010,Forest cover (% of total land area),31.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),35.2200,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
756,Switzerland,2016,Land area (thousand hectares),3952.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Arable land (thousand hectares),399.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Permanent crops (thousand hectares),25.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Forest cover (thousand hectares),1258.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Arable land (% of total land area),10.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Permanent crops (% of total land area),0.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Forest cover (% of total land area),31.8000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),35.2300,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
756,Switzerland,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),35.2300,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
760,Syrian Arab Republic,2005,Land area (thousand hectares),18357.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
760,Syrian Arab Republic,2005,Arable land (thousand hectares),4675.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
