,AMP,ANU,BAD,BAT,COL,GAL,GAM,HAM,JAF,KAL,KAN,KEG,KIL,KUR,MAN,MON,MTL,MTR,MUL,NUW,POL,PUT,RAT,TRI,VAN
2021-01-08,8.0,2.0,0.0,5.0,140.0,43.0,84.0,6.0,3.0,13.0,64.0,21.0,7.0,5.0,0.0,4.0,2.0,15.0,0.0,0.0,2.0,1.0,14.0,1.0,0.0
2021-01-09,6.0,3.0,5.0,20.0,157.0,11.0,108.0,2.0,7.0,19.0,43.0,12.0,0.0,3.0,2.0,0.0,12.0,3.0,0.0,7.0,2.0,25.0,13.0,0.0,55.0
2021-01-10,0.0,1.0,1.0,0.0,253.0,18.0,54.0,15.0,2.0,14.0,90.0,5.0,0.0,1.0,0.0,3.0,5.0,31.0,1.0,0.0,2.0,2.0,4.0,11.0,0.0
2021-01-11,2.0,2.0,0.0,0.0,198.0,28.0,54.0,12.0,0.0,65.0,6.0,44.0,0.0,5.0,2.0,1.0,4.0,1.0,0.0,21.0,4.0,2.0,54.0,6.0,0.0
2021-01-12,7.0,5.0,9.0,17.0,163.0,14.0,134.0,1.0,0.0,41.0,29.0,19.0,0.0,15.0,0.0,11.0,7.0,1.0,0.0,4.0,6.0,13.0,18.0,17.0,9.0
2021-01-13,0.0,1.0,0.0,0.0,150.0,23.0,174.0,1.0,0.0,40.0,2.0,34.0,3.0,16.0,2.0,1.0,7.0,10.0,2.0,9.0,2.0,9.0,5.0,7.0,53.0
2021-01-14,5.0,3.0,1.0,10.0,216.0,10.0,115.0,1.0,0.0,48.0,91.0,16.0,0.0,12.0,4.0,1.0,33.0,13.0,1.0,1.0,11.0,0.0,3.0,14.0,16.0
2021-01-15,5.0,0.0,3.0,0.0,243.0,56.0,64.0,1.0,0.0,55.0,47.0,8.0,0.0,11.0,4.0,11.0,4.0,17.0,2.0,1.0,0.0,22.0,40.0,12.0,3.0
2021-01-16,0.0,3.0,8.0,2.0,186.0,22.0,245.0,8.0,0.0,61.0,13.0,34.0,0.0,7.0,0.0,11.0,0.0,3.0,0.0,6.0,5.0,12.0,22.0,2.0,21.0
2021-01-17,5.0,0.0,9.0,2.0,231.0,10.0,160.0,2.0,0.0,78.0,46.0,17.0,0.0,26.0,1.0,3.0,34.0,2.0,0.0,10.0,8.0,4.0,14.0,25.0,2.0
2021-01-18,3.0,1.0,8.0,13.0,185.0,24.0,166.0,5.0,0.0,70.0,40.0,4.0,2.0,10.0,15.0,5.0,14.0,35.0,0.0,20.0,0.0,20.0,20.0,2.0,36.0
2021-01-19,0.0,7.0,15.0,10.0,129.0,27.0,150.0,35.0,3.0,31.0,9.0,9.0,0.0,49.0,2.0,17.0,0.0,15.0,0.0,11.0,2.0,3.0,1.0,48.0,7.0
2021-01-20,12.0,1.0,6.0,8.0,201.0,34.0,178.0,3.0,0.0,15.0,8.0,24.0,0.0,6.0,0.0,3.0,16.0,24.0,0.0,0.0,0.0,2.0,40.0,34.0,20.0
2021-01-21,2.0,2.0,3.0,5.0,192.0,52.0,110.0,4.0,5.0,52.0,74.0,12.0,0.0,11.0,25.0,2.0,22.0,63.0,1.0,0.0,27.0,27.0,2.0,14.0,25.0
2021-01-22,2.0,13.0,12.0,6.0,326.0,52.0,147.0,16.0,7.0,35.0,47.0,2.0,2.0,31.0,0.0,4.0,50.0,6.0,1.0,0.0,1.0,4.0,33.0,1.0,0.0
2021-01-23,2.0,5.0,5.0,7.0,135.0,30.0,93.0,11.0,0.0,46.0,28.0,9.0,0.0,6.0,10.0,16.0,5.0,51.0,0.0,23.0,2.0,6.0,1.0,12.0,20.0
2021-01-24,3.0,3.0,5.0,5.0,205.0,9.0,175.0,18.0,1.0,20.0,55.0,23.0,0.0,40.0,23.0,9.0,10.0,57.0,0.0,5.0,1.0,10.0,27.0,0.0,6.0
2021-01-25,2.0,3.0,13.0,15.0,257.0,30.0,128.0,5.0,0.0,29.0,101.0,34.0,0.0,15.0,2.0,4.0,39.0,12.0,1.0,1.0,1.0,18.0,2.0,13.0,3.0
2021-01-26,2.0,3.0,6.0,7.0,152.0,54.0,118.0,6.0,2.0,145.0,31.0,16.0,0.0,34.0,0.0,5.0,18.0,13.0,0.0,14.0,1.0,12.0,16.0,8.0,0.0
2021-01-27,1.0,0.0,16.0,3.0,255.0,39.0,114.0,1.0,3.0,117.0,7.0,6.0,1.0,4.0,0.0,2.0,45.0,24.0,0.0,2.0,0.0,3.0,67.0,2.0,0.0
2021-01-28,7.0,2.0,3.0,3.0,310.0,11.0,113.0,13.0,2.0,35.0,8.0,6.0,0.0,131.0,15.0,2.0,3.0,14.0,0.0,1.0,1.0,9.0,1.0,8.0,1.0
2021-01-29,0.0,2.0,19.0,8.0,194.0,6.0,189.0,1.0,3.0,31.0,28.0,14.0,0.0,14.0,10.0,6.0,2.0,34.0,0.0,39.0,1.0,6.0,6.0,1.0,2.0
2021-01-30,14.0,0.0,0.0,0.0,149.0,28.0,126.0,0.0,0.0,48.0,32.0,13.0,0.0,29.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,18.0,6.0,26.0,0.0
2021-01-31,0.0,0.0,24.0,1.0,210.0,36.0,136.0,8.0,0.0,60.0,15.0,42.0,0.0,79.0,12.0,1.0,12.0,30.0,1.0,27.0,12.0,46.0,56.0,1.0,2.0
2021-02-01,1.0,28.0,8.0,2.0,245.0,14.0,141.0,12.0,1.0,86.0,55.0,5.0,0.0,48.0,0.0,3.0,21.0,18.0,0.0,1.0,2.0,20.0,14.0,0.0,6.0
