,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
28 Aug,1449.00,4901.00,2767.00,235.00,329.00,1326.00,37082.00,302.00,10528.00,13467.00,32113.00,611.00,3723.00,2464.00,8081.00,373.00,861.00,2685.00,4305.00,1890.00,3686.00,6627.00,1501.00,11756.00,240.00,378.00,1526.00,1840.00,1785.00,726.00,3735.00,384.00,176.00,2035.00,0.00
29 Aug,1546.00,4989.00,2827.00,235.00,332.00,1373.00,37943.00,302.00,10815.00,13647.00,32754.00,627.00,3923.00,2482.00,8192.00,379.00,900.00,2727.00,4361.00,1978.00,3751.00,6730.00,1539.00,11841.00,241.00,382.00,1605.00,1840.00,1812.00,746.00,3771.00,388.00,176.00,2041.00,0.00
30 Aug,1600.00,5078.00,2872.00,239.00,343.00,1397.00,39037.00,302.00,10918.00,13785.00,33220.00,645.00,4120.00,2507.00,8256.00,382.00,900.00,2728.00,4401.00,2068.00,3833.00,6769.00,1565.00,11870.00,241.00,389.00,1739.00,1858.00,1832.00,752.00,3796.00,393.00,177.00,2041.00,0.00
31 Aug,1633.00,5207.00,2903.00,239.00,343.00,1425.00,40086.00,302.00,11063.00,13964.00,33543.00,645.00,4244.00,2548.00,8288.00,384.00,990.00,2742.00,4454.00,2157.00,3848.00,6827.00,1566.00,11978.00,243.00,395.00,1846.00,1860.00,1857.00,807.00,3796.00,395.00,177.00,2041.00,0.00
1 Sep,1649.00,5367.00,2929.00,239.00,349.00,1445.00,40987.00,302.00,11278.00,14164.00,33893.00,653.00,4305.00,2585.00,8357.00,392.00,1017.00,2758.00,4486.00,2240.00,3893.00,6942.00,1608.00,12057.00,244.00,399.00,1924.00,1866.00,1900.00,831.00,3862.00,396.00,179.00,2075.00,0.00
2 Sep,1697.00,5536.00,2997.00,239.00,353.00,1474.00,42041.00,303.00,11481.00,14428.00,34278.00,659.00,4377.00,2585.00,8416.00,396.00,1064.00,2772.00,4520.00,2328.00,3908.00,7124.00,1623.00,12194.00,245.00,410.00,2031.00,1871.00,1910.00,836.00,3873.00,396.00,191.00,2090.00,0.00
3 Sep,1794.00,5710.00,3031.00,240.00,361.00,1507.00,43400.00,303.00,11719.00,14670.00,34655.00,674.00,4534.00,2636.00,8527.00,422.00,1100.00,2786.00,4583.00,2372.00,3942.00,7265.00,1629.00,12244.00,249.00,424.00,2137.00,1878.00,1961.00,861.00,3901.00,402.00,200.00,2151.00,0.00
4 Sep,1884.00,5906.00,3053.00,242.00,364.00,1525.00,44280.00,304.00,12104.00,14860.00,35005.00,685.00,4815.00,2689.00,8576.00,426.00,1165.00,2795.00,4618.00,2437.00,3972.00,7390.00,1661.00,12321.00,249.00,428.00,2267.00,1887.00,2004.00,888.00,3973.00,402.00,202.00,2160.00,0.00
5 Sep,1945.00,6071.00,3102.00,242.00,369.00,1546.00,45157.00,304.00,12332.00,15118.00,35331.00,691.00,4943.00,2689.00,8657.00,435.00,1182.00,2828.00,4660.00,2507.00,3990.00,7552.00,1677.00,12475.00,252.00,440.00,2445.00,1887.00,2064.00,895.00,4074.00,419.00,204.00,2182.00,0.00
6 Sep,2023.00,6212.00,3187.00,243.00,391.00,1557.00,46333.00,304.00,12505.00,15351.00,35634.00,704.00,5129.00,2740.00,8760.00,443.00,1182.00,2847.00,4675.00,2751.00,4002.00,7633.00,1706.00,12684.00,252.00,452.00,2585.00,1887.00,2144.00,908.00,4074.00,419.00,206.00,2186.00,0.00
7 Sep,2042.00,6385.00,3264.00,243.00,391.00,1571.00,47379.00,304.00,12709.00,15615.00,35941.00,704.00,5191.00,2807.00,8837.00,448.00,1235.00,2855.00,4745.00,2795.00,4003.00,7725.00,1706.00,12695.00,252.00,455.00,2718.00,1896.00,2164.00,940.00,4148.00,419.00,206.00,2201.00,0.00
8 Sep,2054.00,6549.00,3323.00,250.00,394.00,1595.00,48393.00,304.00,13045.00,15852.00,36342.00,711.00,5277.00,2807.00,8903.00,455.00,1259.00,2875.00,4786.00,2910.00,4024.00,7832.00,1717.00,12746.00,257.00,466.00,2831.00,1900.00,2206.00,941.00,4162.00,435.00,209.00,2225.00,0.00
9 Sep,2152.00,6723.00,3360.00,252.00,397.00,1645.00,49397.00,308.00,13333.00,16133.00,36712.00,723.00,5357.00,2851.00,9001.00,456.00,1312.00,2890.00,4824.00,3020.00,4046.00,7964.00,1741.00,12864.00,261.00,488.00,2969.00,1910.00,2228.00,959.00,4162.00,450.00,213.00,2241.00,0.00
10 Sep,2258.00,6834.00,3402.00,263.00,400.00,1695.00,50671.00,309.00,13668.00,16508.00,37093.00,728.00,5447.00,2887.00,9078.00,458.00,1340.00,2901.00,4890.00,3124.00,4064.00,8110.00,1767.00,13032.00,261.00,509.00,3163.00,1911.00,2248.00,970.00,4276.00,456.00,213.00,2269.00,0.00
11 Sep,2403.00,6978.00,3448.00,270.00,430.00,1744.00,51635.00,314.00,13940.00,17074.00,37455.00,736.00,5599.00,2920.00,9152.00,460.00,1357.00,2910.00,4945.00,3161.00,4085.00,8241.00,1801.00,13183.00,269.00,511.00,3345.00,1918.00,2365.00,1019.00,4330.00,458.00,213.00,2271.00,
12 Sep,2527.00,7113.00,3469.00,275.00,458.00,1787.00,52840.00,319.00,14231.00,17460.00,37839.00,747.00,5752.00,2966.00,9249.00,465.00,1378.00,2923.00,5018.00,3264.00,4105.00,8362.00,1834.00,13235.00,269.00,555.00,3569.00,1921.00,2377.00,1086.00,4392.00,462.00,217.00,2282.00,0.00
13 Sep,2739.00,7226.00,3519.00,283.00,466.00,1836.00,54220.00,321.00,14388.00,17742.00,38088.00,754.00,5926.00,3002.00,9282.00,469.00,1411.00,2939.00,5051.00,3387.00,4149.00,8465.00,1869.00,13291.00,271.00,555.00,3781.00,1935.00,2434.00,1086.00,4476.00,470.00,237.00,2314.00,0.00
14 Sep,2892.00,7312.00,3574.00,283.00,467.00,1869.00,55099.00,321.00,14591.00,17913.00,38431.00,780.00,6049.00,3002.00,9423.00,474.00,1430.00,2961.00,5078.00,3505.00,4165.00,8559.00,1890.00,13476.00,271.00,615.00,3909.00,1940.00,2465.00,1185.00,4572.00,471.00,237.00,2314.00,
15 Sep,3032.00,7380.00,3636.00,284.00,476.00,1895.00,56175.00,331.00,14938.00,18111.00,38809.00,784.00,6100.00,3059.00,9500.00,479.00,1438.00,2981.00,5118.00,3633.00,4171.00,8808.00,1948.00,13583.00,272.00,644.00,4054.00,1956.00,2481.00,1236.00,4637.00,475.00,276.00,2330.00,0.00
16 Sep,3127.00,7429.00,3774.00,295.00,480.00,1943.00,57469.00,345.00,15231.00,18451.00,39181.00,803.00,6317.00,3123.00,9511.00,481.00,1460.00,2990.00,5175.00,3749.00,4182.00,8934.00,2008.00,13747.00,276.00,666.00,4237.00,1966.00,2500.00,1278.00,4763.00,477.00,289.00,2336.00,0.00
17 Sep,3236.00,7492.00,3895.00,305.00,510.00,1984.00,58582.00,351.00,15584.00,18744.00,39508.00,825.00,6486.00,3123.00,9547.00,483.00,1494.00,3009.00,5233.00,3868.00,4212.00,9051.00,2043.00,13867.00,278.00,687.00,4462.00,1972.00,2503.00,1333.00,4836.00,482.00,302.00,2341.00,0.00
18 Sep,3352.00,7543.00,4036.00,306.00,523.00,2037.00,59840.00,358.00,15925.00,18942.00,39993.00,840.00,6605.00,3178.00,9572.00,485.00,1582.00,3029.00,5293.00,4002.00,4232.00,9176.00,2060.00,14026.00,289.00,694.00,4687.00,1973.00,2510.00,1387.00,4894.00,484.00,313.00,2353.00,0.00
19 Sep,3527.00,7628.00,4164.00,310.00,530.00,2111.00,60828.00,372.00,16395.00,19213.00,40372.00,861.00,6716.00,3228.00,9650.00,488.00,1627.00,3082.00,5331.00,4161.00,4254.00,9273.00,2119.00,14193.00,297.00,715.00,4990.00,1992.00,2551.00,1435.00,5099.00,485.00,315.00,2375.00,0.00
20 Sep,3595.00,7749.00,4343.00,311.00,536.00,2181.00,61966.00,386.00,16822.00,19516.00,40708.00,867.00,6776.00,3272.00,9735.00,489.00,1639.00,3101.00,5402.00,4267.00,4295.00,9368.00,2187.00,14367.00,320.00,728.00,5288.00,1992.00,2566.00,1495.00,5149.00,504.00,321.00,2435.00,0.00
21 Sep,3694.00,7888.00,4464.00,312.00,536.00,2245.00,63318.00,386.00,17502.00,19754.00,41076.00,868.00,6954.00,3300.00,9817.00,492.00,1724.00,3126.00,5449.00,4448.00,4317.00,9468.00,2223.00,14403.00,321.00,738.00,5448.00,2011.00,2615.00,1516.00,5176.00,505.00,321.00,2437.00,0.00
22 Sep,3785.00,7996.00,4593.00,320.00,541.00,2312.00,64554.00,386.00,18077.00,19982.00,41417.00,879.00,7068.00,3300.00,9902.00,503.00,1747.00,3137.00,5497.00,4649.00,4329.00,9566.00,2261.00,14524.00,330.00,762.00,5701.00,2014.00,2652.00,1587.00,5249.00,530.00,332.00,2441.00,0.00
23 Sep,3835.00,8126.00,4809.00,334.00,572.00,2375.00,65687.00,395.00,18593.00,20239.00,41755.00,885.00,7264.00,3392.00,9984.00,532.00,1864.00,3161.00,5607.00,4853.00,4335.00,9653.00,2351.00,14648.00,344.00,778.00,5889.00,2035.00,2654.00,1674.00,5387.00,540.00,349.00,2489.00,0.00
24 Sep,3891.00,8245.00,4939.00,335.00,579.00,2397.00,66731.00,399.00,19397.00,20673.00,42098.00,901.00,7459.00,3431.00,10047.00,550.00,1875.00,3200.00,5690.00,5155.00,4357.00,9749.00,2422.00,14813.00,348.00,799.00,6120.00,2039.00,2654.00,1674.00,5653.00,546.00,367.00,2489.00,0.00
25 Sep,3982.00,8389.00,5050.00,336.00,590.00,2458.00,67902.00,409.00,20131.00,21004.00,42391.00,935.00,7851.00,3474.00,10080.00,556.00,2022.00,3218.00,5734.00,5363.00,4390.00,9843.00,2501.00,14982.00,354.00,814.00,6315.00,2045.00,2654.00,1820.00,5763.00,567.00,388.00,2534.00,0.00
26 Sep,4173.00,8452.00,5185.00,337.00,600.00,2499.00,69224.00,425.00,20517.00,21368.00,42670.00,946.00,8070.00,3474.00,10120.00,563.00,2115.00,3246.00,5794.00,5504.00,4412.00,9941.00,2681.00,15175.00,375.00,826.00,6577.00,2048.00,2727.00,1951.00,5840.00,571.00,394.00,2539.00,0.00
27 Sep,4246.00,8532.00,5290.00,337.00,645.00,2519.00,70441.00,446.00,20954.00,21626.00,42890.00,957.00,8210.00,3485.00,10197.00,569.00,2170.00,3265.00,5876.00,5720.00,4437.00,10038.00,2763.00,15295.00,375.00,841.00,6780.00,2048.00,2727.00,1990.00,5953.00,617.00,402.00,2572.00,0.00
28 Sep,4325.00,8639.00,5417.00,337.00,647.00,2558.00,71339.00,467.00,21443.00,21930.00,43174.00,957.00,8324.00,3549.00,10237.00,573.00,2182.00,3282.00,5927.00,5926.00,4444.00,10123.00,2780.00,15354.00,393.00,851.00,7034.00,2052.00,2727.00,2054.00,5999.00,617.00,402.00,2659.00,
29 Sep,4471.00,8745.00,5499.00,347.00,665.00,2607.00,72577.00,490.00,21759.00,22205.00,43450.00,974.00,8438.00,3634.00,10289.00,575.00,2200.00,3289.00,5985.00,6180.00,4456.00,10211.00,2819.00,15501.00,402.00,875.00,7270.00,2059.00,2815.00,2088.00,5999.00,773.00,406.00,2671.00,0.00
30 Sep,4554.00,8878.00,5643.00,361.00,693.00,2643.00,73736.00,513.00,22205.00,22435.00,43744.00,982.00,8651.00,3645.00,10348.00,577.00,2234.00,3316.00,6095.00,6281.00,4487.00,10313.00,2862.00,15579.00,410.00,894.00,7622.00,2065.00,2815.00,2135.00,6321.00,794.00,424.00,2753.00,0.00
1 Oct,4666.00,9019.00,5743.00,371.00,713.00,2680.00,74989.00,534.00,22764.00,22734.00,44058.00,1011.00,8782.00,3691.00,10403.00,583.00,2250.00,3346.00,6135.00,6473.00,4505.00,10424.00,2910.00,15698.00,440.00,907.00,7887.00,2067.00,2859.00,2166.00,6382.00,804.00,429.00,2759.00,0.00
2 Oct,4854.00,9149.00,5825.00,387.00,722.00,2700.00,76187.00,558.00,23308.00,23078.00,44341.00,1017.00,9101.00,3720.00,10479.00,590.00,2273.00,3372.00,6207.00,6587.00,4530.00,10513.00,2989.00,15772.00,450.00,932.00,8068.00,2074.00,2976.00,2213.00,6504.00,809.00,439.00,2775.00,0.00
3 Oct,4927.00,9254.00,5960.00,406.00,724.00,2772.00,77452.00,571.00,23651.00,23450.00,44649.00,1023.00,9218.00,3758.00,10562.00,597.00,2306.00,3394.00,6277.00,6872.00,4551.00,10599.00,3032.00,15815.00,461.00,942.00,8240.00,2075.00,2976.00,2259.00,6690.00,820.00,448.00,2775.00,0.00
4 Oct,4994.00,9365.00,6129.00,411.00,728.00,2791.00,78850.00,593.00,23899.00,23764.00,44898.00,1042.00,9446.00,3776.00,10618.00,603.00,2343.00,3420.00,6323.00,7127.00,4576.00,10682.00,3066.00,15883.00,466.00,951.00,8403.00,2075.00,3040.00,2346.00,6781.00,829.00,464.00,2816.00,0.00
5 Oct,5064.00,9448.00,6268.00,423.00,752.00,2813.00,79872.00,618.00,24402.00,24129.00,45135.00,1044.00,9563.00,3804.00,10662.00,605.00,2382.00,3441.00,6346.00,7343.00,4595.00,10771.00,3069.00,15900.00,467.00,988.00,8701.00,2077.00,3062.00,2361.00,6881.00,830.00,465.00,2839.00,0.00
6 Oct,5182.00,9547.00,6368.00,428.00,758.00,2833.00,80979.00,647.00,24910.00,24529.00,45417.00,1085.00,9763.00,3818.00,10734.00,610.00,2411.00,3464.00,6417.00,7429.00,4630.00,10869.00,3161.00,15946.00,491.00,1015.00,8832.00,2077.00,3130.00,2475.00,7073.00,842.00,467.00,2839.00,0.00
7 Oct,5254.00,9652.00,6448.00,438.00,762.00,2853.00,82190.00,669.00,25662.00,24913.00,45748.00,1095.00,9965.00,3855.00,10774.00,623.00,2421.00,3471.00,6531.00,7623.00,4652.00,10965.00,3256.00,16085.00,514.00,1031.00,8982.00,2077.00,3178.00,2544.00,7214.00,862.00,485.00,2922.00,0.00
8 Oct,5423.00,9759.00,6570.00,440.00,774.00,2904.00,83372.00,715.00,26259.00,25261.00,46095.00,1108.00,10203.00,3866.00,10816.00,629.00,2450.00,3485.00,6614.00,7824.00,4685.00,11064.00,3356.00,16298.00,528.00,1089.00,9226.00,2082.00,3272.00,2754.00,7312.00,868.00,532.00,2931.00,0.00
9 Oct,5546.00,9897.00,6711.00,454.00,785.00,2960.00,84315.00,760.00,26763.00,25673.00,46405.00,1136.00,10338.00,3890.00,10897.00,632.00,2450.00,3513.00,6677.00,8119.00,4704.00,11159.00,3419.00,16399.00,539.00,1089.00,9430.00,2082.00,3272.00,2854.00,7428.00,878.00,551.00,2933.00,0.00
10 Oct,5644.00,10028.00,6882.00,461.00,796.00,3029.00,85574.00,790.00,27031.00,26083.00,46715.00,1216.00,10469.00,3907.00,10950.00,637.00,2525.00,3520.00,6743.00,8364.00,4744.00,11247.00,3477.00,16562.00,552.00,1120.00,9661.00,2089.00,3396.00,2891.00,7472.00,879.00,558.00,2940.00,0.00
11 Oct,5767.00,10135.00,6988.00,474.00,803.00,3064.00,86963.00,812.00,27236.00,26401.00,46984.00,1297.00,10663.00,3941.00,11026.00,645.00,2547.00,3539.00,6776.00,8714.00,4798.00,11332.00,3568.00,16738.00,568.00,1131.00,9971.00,2089.00,3435.00,3016.00,7622.00,894.00,565.00,2947.00,0.00
12 Oct,5844.00,10228.00,7067.00,474.00,804.00,3107.00,88174.00,825.00,27522.00,26640.00,47280.00,1297.00,10729.00,3967.00,11052.00,649.00,2619.00,3554.00,6821.00,8880.00,4803.00,11419.00,3627.00,16819.00,569.00,1147.00,10180.00,2105.00,3448.00,3036.00,7622.00,894.00,565.00,2949.00,0.00
13 Oct,5895.00,10304.00,7148.00,475.00,807.00,3145.00,89228.00,863.00,28087.00,27106.00,47595.00,1311.00,10837.00,3978.00,11130.00,662.00,2641.00,3562.00,6887.00,9052.00,4812.00,11508.00,3736.00,16917.00,586.00,1162.00,10343.00,2110.00,3454.00,3079.00,7764.00,917.00,572.00,2949.00,0.00
14 Oct,5960.00,10413.00,7239.00,480.00,825.00,3171.00,90266.00,893.00,28529.00,27392.00,47894.00,1328.00,11047.00,3987.00,11185.00,673.00,2660.00,3588.00,6947.00,9403.00,4857.00,11596.00,3802.00,17066.00,596.00,1204.00,10643.00,2114.00,3459.00,3079.00,7988.00,932.00,574.00,2959.00,0.00
15 Oct,6077.00,10513.00,7350.00,484.00,832.00,3216.00,91337.00,916.00,29119.00,27864.00,48161.00,1357.00,11212.00,4014.00,11261.00,673.00,2699.00,3613.00,7005.00,9766.00,4868.00,11686.00,3902.00,17179.00,617.00,1221.00,10824.00,2115.00,3471.00,3235.00,8099.00,939.00,575.00,2960.00,0.00
16 Oct,6254.00,10605.00,7466.00,488.00,839.00,3261.00,92382.00,942.00,29543.00,28307.00,48452.00,1382.00,11306.00,4045.00,11329.00,687.00,2768.00,3646.00,7058.00,10250.00,4930.00,11775.00,3950.00,17286.00,617.00,1250.00,11102.00,2120.00,3479.00,3353.00,8099.00,944.00,582.00,2964.00,0.00
17 Oct,6436.00,10697.00,7593.00,499.00,862.00,3285.00,93356.00,968.00,30043.00,28723.00,48690.00,1413.00,11503.00,4081.00,11400.00,691.00,2768.00,3673.00,7104.00,10700.00,4959.00,11861.00,4023.00,17352.00,668.00,1285.00,11358.00,2120.00,3521.00,3465.00,8168.00,949.00,584.00,2964.00,0.00
18 Oct,6551.00,10771.00,7723.00,515.00,877.00,3325.00,94327.00,982.00,30254.00,29079.00,48932.00,1428.00,11885.00,4081.00,11439.00,714.00,2836.00,3704.00,7143.00,10963.00,4985.00,11944.00,4249.00,17483.00,685.00,1298.00,11642.00,2120.00,3561.00,3626.00,8239.00,952.00,587.00,2967.00,0.00
19 Oct,6667.00,10880.00,7843.00,516.00,880.00,3343.00,95253.00,988.00,30778.00,29395.00,49174.00,1428.00,11970.00,4122.00,11446.00,715.00,2883.00,3732.00,7182.00,11205.00,5026.00,12035.00,4275.00,17526.00,687.00,1340.00,11839.00,2131.00,3597.00,3636.00,8239.00,952.00,588.00,2969.00,0.00
20 Oct,6765.00,10955.00,7922.00,523.00,915.00,3356.00,96217.00,1027.00,31250.00,29844.00,49474.00,1451.00,12038.00,4149.00,11488.00,715.00,2915.00,3753.00,7229.00,11373.00,5048.00,12125.00,4301.00,17593.00,726.00,1376.00,12006.00,2142.00,3617.00,3653.00,8368.00,967.00,592.00,2969.00,0.00
21 Oct,6844.00,11042.00,8093.00,538.00,917.00,3389.00,97217.00,1049.00,31907.00,30218.00,49801.00,1451.00,12221.00,4162.00,11508.00,735.00,3012.00,3785.00,7328.00,11652.00,5075.00,12212.00,4382.00,17690.00,762.00,1420.00,12319.00,2152.00,3624.00,3688.00,8368.00,971.00,605.00,2972.00,0.00
22 Oct,6947.00,11125.00,8313.00,544.00,928.00,3434.00,98206.00,1068.00,32643.00,30731.00,50069.00,1497.00,12480.00,4162.00,11535.00,752.00,3012.00,3810.00,7362.00,11875.00,5087.00,12297.00,4472.00,17767.00,775.00,1460.00,12601.00,2180.00,3624.00,3761.00,8463.00,971.00,615.00,2975.00,0.00
23 Oct,7037.00,11203.00,8458.00,544.00,961.00,3462.00,99158.00,1092.00,33147.00,31302.00,50364.00,1528.00,12703.00,4213.00,11583.00,761.00,3126.00,3830.00,7435.00,12132.00,5132.00,12388.00,4550.00,17828.00,787.00,1522.00,12877.00,2187.00,3650.00,3858.00,8512.00,971.00,634.00,2975.00,0.00
24 Oct,7125.00,11279.00,8563.00,549.00,969.00,3506.00,100220.00,1118.00,33568.00,31586.00,50653.00,1564.00,12944.00,4233.00,11629.00,766.00,3207.00,3836.00,7500.00,12432.00,5176.00,12472.00,4622.00,17893.00,799.00,1551.00,13257.00,2188.00,3718.00,3879.00,8569.00,978.00,649.00,2982.00,0.00
25 Oct,7212.00,11388.00,8794.00,553.00,995.00,3550.00,100991.00,1140.00,33924.00,31942.00,50921.00,1564.00,13119.00,4251.00,11648.00,780.00,3362.00,3858.00,7522.00,12791.00,5209.00,12562.00,4665.00,17936.00,817.00,1601.00,13547.00,2188.00,3739.00,3885.00,8618.00,987.00,652.00,3001.00,0.00
26 Oct,7252.00,11455.00,8914.00,554.00,995.00,3576.00,101897.00,1149.00,34355.00,32098.00,51217.00,1577.00,13225.00,4274.00,11650.00,782.00,3500.00,3884.00,7538.00,13060.00,5232.00,12655.00,4675.00,17950.00,821.00,1646.00,13752.00,2192.00,3739.00,3891.00,8785.00,988.00,653.00,3003.00,
27 Oct,7265.00,11520.00,9038.00,566.00,1017.00,3617.00,102678.00,1156.00,34745.00,32414.00,51506.00,1606.00,13348.00,4284.00,11662.00,791.00,3603.00,3913.00,7581.00,13373.00,5243.00,12745.00,4713.00,18155.00,838.00,1686.00,13998.00,2193.00,3772.00,3974.00,8785.00,997.00,667.00,3005.00,0.00
28 Oct,7339.00,11588.00,9208.00,573.00,1040.00,3662.00,103522.00,1188.00,35148.00,32732.00,51752.00,1620.00,13562.00,4288.00,11732.00,805.00,3738.00,3940.00,7667.00,13649.00,5287.00,12837.00,4856.00,18275.00,848.00,1729.00,14251.00,2196.00,3785.00,4080.00,8910.00,1000.00,669.00,3007.00,0.00
29 Oct,7373.00,11647.00,9299.00,578.00,1049.00,3744.00,104235.00,1219.00,35607.00,33100.00,52020.00,1633.00,13770.00,4328.00,11764.00,814.00,3901.00,3950.00,7744.00,13984.00,5351.00,12925.00,4902.00,18298.00,855.00,1757.00,14511.00,2196.00,3790.00,4088.00,8930.00,1000.00,679.00,3007.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
