,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
18-Apr,6.00,131.00,321.00,6.00,4.00,67.00,2924.00,8.00,641.00,329.00,555.00,21.00,54.00,41.00,92.00,50.00,79.00,55.00,84.00,71.00,20.00,79.00,28.00,343.00,24.00,26.00,30.00,4.00,17.00,5.00,95.00,7.00,1.00,4.00,26.00
19-Apr,7.00,135.00,324.00,7.00,4.00,67.00,3032.00,8.00,696.00,349.00,590.00,21.00,59.00,46.00,96.00,69.00,79.00,61.00,89.00,72.00,20.00,81.00,37.00,370.00,27.00,26.00,30.00,4.00,17.00,7.00,107.00,7.00,1.00,4.00,26.00
20-Apr,7.00,140.00,341.00,7.00,4.00,69.00,3097.00,8.00,747.00,351.00,590.00,21.00,63.00,60.00,96.00,74.00,79.00,72.00,89.00,74.00,20.00,83.00,37.00,370.00,27.00,26.00,34.00,4.00,17.00,7.00,107.00,7.00,1.00,4.00,27.00
21-Apr,7.00,150.00,341.00,8.00,8.00,72.00,3260.00,13.00,756.00,449.00,603.00,27.00,68.00,67.00,98.00,77.00,81.00,93.00,89.00,76.00,20.00,84.00,37.00,374.00,27.00,27.00,35.00,4.00,17.00,7.00,118.00,7.00,1.00,7.00,27.00
22-Apr,7.00,152.00,337.00,8.00,8.00,75.00,3383.00,13.00,762.00,479.00,638.00,31.00,69.00,82.00,107.00,77.00,81.00,108.00,89.00,81.00,20.00,93.00,37.00,387.00,29.00,27.00,35.00,12.00,17.00,8.00,123.00,8.00,1.00,7.00,27.00
23-Apr,7.00,167.00,337.00,9.00,8.00,76.00,3517.00,14.00,784.00,538.00,664.00,50.00,74.00,83.00,114.00,77.00,83.00,115.00,93.00,86.00,31.00,95.00,37.00,397.00,29.00,38.00,36.00,14.00,17.00,13.00,130.00,8.00,1.00,7.00,26.00
24-Apr,8.00,177.00,359.00,9.00,8.00,77.00,3599.00,18.00,862.00,575.00,690.00,50.00,85.00,94.00,132.00,77.00,83.00,153.00,106.00,96.00,36.00,96.00,41.00,420.00,32.00,38.00,36.00,14.00,17.00,15.00,136.00,33.00,1.00,12.00,26.00
25-Apr,9.00,183.00,370.00,9.00,8.00,79.00,3684.00,21.00,907.00,621.00,770.00,51.00,97.00,100.00,146.00,83.00,83.00,180.00,119.00,97.00,36.00,105.00,41.00,432.00,36.00,38.00,38.00,14.00,22.00,16.00,136.00,35.00,1.00,14.00,26.00
26-Apr,9.00,186.00,370.00,10.00,8.00,82.00,3798.00,32.00,912.00,649.00,785.00,51.00,105.00,104.00,146.00,89.00,85.00,195.00,129.00,102.00,40.00,111.00,45.00,440.00,36.00,42.00,39.00,26.00,22.00,16.00,141.00,35.00,1.00,15.00,26.00
27-Apr,9.00,194.00,382.00,10.00,8.00,83.00,3869.00,32.00,951.00,666.00,796.00,51.00,107.00,112.00,150.00,90.00,86.00,206.00,129.00,121.00,40.00,111.00,45.00,440.00,36.00,42.00,39.00,26.00,22.00,16.00,151.00,35.00,1.00,14.00,26.00
28-Apr,9.00,215.00,388.00,10.00,8.00,93.00,4002.00,32.00,969.00,682.00,857.00,51.00,115.00,121.00,150.00,92.00,89.00,221.00,143.00,144.00,43.00,111.00,45.00,453.00,42.00,44.00,40.00,26.00,22.00,37.00,177.00,37.00,1.00,15.00,27.00
29-Apr,9.00,215.00,388.00,10.00,12.00,94.00,4092.00,32.00,1009.00,711.00,872.00,58.00,119.00,127.00,157.00,92.00,89.00,230.00,144.00,145.00,44.00,114.00,53.00,465.00,47.00,46.00,41.00,26.00,23.00,37.00,189.00,38.00,1.00,15.00,27.00
30-Apr,10.00,222.00,404.00,10.00,12.00,95.00,4175.00,32.00,1012.00,724.00,958.00,58.00,134.00,145.00,170.00,100.00,89.00,230.00,150.00,148.00,45.00,117.00,62.00,491.00,47.00,46.00,41.00,40.00,23.00,37.00,205.00,42.00,3.00,15.00,26.00
1-May,11.00,235.00,418.00,19.00,12.00,104.00,4317.00,32.00,1012.00,746.00,1034.00,61.00,136.00,156.00,179.00,115.00,89.00,233.00,156.00,172.00,45.00,117.00,62.00,547.00,48.00,50.00,42.00,41.00,23.00,42.00,210.00,43.00,3.00,15.00,26.00
2-May,11.00,237.00,427.00,19.00,12.00,114.00,4397.00,32.00,1043.00,767.00,1037.00,68.00,154.00,157.00,179.00,122.00,89.00,250.00,156.00,182.00,45.00,117.00,64.00,577.00,59.00,50.00,45.00,41.00,23.00,43.00,240.00,44.00,3.00,15.00,24.00
3-May,12.00,262.00,432.00,20.00,12.00,115.00,4463.00,38.00,1054.00,776.00,1117.00,70.00,162.00,157.00,195.00,122.00,92.00,269.00,185.00,195.00,45.00,123.00,64.00,601.00,59.00,50.00,53.00,50.00,23.00,43.00,240.00,44.00,10.00,15.00,24.00
4-May,12.00,271.00,446.00,20.00,12.00,115.00,4539.00,38.00,1252.00,798.00,1124.00,73.00,167.00,180.00,198.00,130.00,92.00,269.00,185.00,203.00,45.00,129.00,64.00,607.00,59.00,54.00,58.00,50.00,23.00,43.00,240.00,44.00,10.00,15.00,24.00
5-May,12.00,277.00,458.00,28.00,12.00,121.00,4687.00,43.00,1300.00,849.00,1171.00,73.00,168.00,181.00,212.00,131.00,97.00,285.00,199.00,221.00,45.00,130.00,69.00,640.00,70.00,55.00,61.00,50.00,23.00,49.00,247.00,58.00,12.00,15.00,22.00
6-May,17.00,277.00,487.00,28.00,14.00,122.00,4770.00,47.00,1320.00,891.00,1221.00,90.00,182.00,186.00,225.00,131.00,98.00,289.00,210.00,238.00,45.00,141.00,69.00,665.00,70.00,63.00,61.00,50.00,23.00,53.00,248.00,58.00,12.00,15.00,22.00
7-May,17.00,287.00,495.00,28.00,14.00,137.00,4855.00,47.00,1381.00,904.00,1267.00,95.00,182.00,188.00,238.00,131.00,98.00,300.00,227.00,252.00,45.00,142.00,69.00,684.00,75.00,63.00,66.00,50.00,23.00,53.00,252.00,58.00,12.00,19.00,22.00
8-May,17.00,300.00,505.00,28.00,14.00,143.00,4955.00,47.00,1404.00,933.00,1284.00,95.00,209.00,188.00,246.00,131.00,100.00,312.00,227.00,270.00,47.00,157.00,70.00,708.00,75.00,66.00,69.00,50.00,32.00,53.00,265.00,60.00,12.00,19.00,21.00
9-May,17.00,306.00,523.00,28.00,37.00,146.00,5056.00,62.00,1437.00,959.00,1419.00,118.00,214.00,189.00,253.00,131.00,101.00,330.00,278.00,286.00,53.00,179.00,71.00,710.00,75.00,66.00,71.00,54.00,32.00,53.00,277.00,62.00,12.00,19.00,21.00
10-May,17.00,311.00,533.00,29.00,37.00,153.00,5190.00,64.00,1437.00,978.00,1502.00,120.00,218.00,193.00,263.00,131.00,101.00,330.00,278.00,299.00,71.00,179.00,76.00,722.00,83.00,66.00,73.00,54.00,32.00,70.00,308.00,62.00,12.00,19.00,21.00
11-May,17.00,314.00,541.00,29.00,37.00,159.00,5276.00,65.00,1493.00,980.00,1536.00,120.00,225.00,200.00,263.00,132.00,104.00,331.00,278.00,299.00,71.00,196.00,76.00,722.00,83.00,66.00,74.00,54.00,32.00,70.00,308.00,62.00,12.00,19.00,21.00
12-May,17.00,328.00,559.00,29.00,40.00,169.00,5375.00,65.00,1545.00,989.00,1669.00,123.00,228.00,204.00,277.00,132.00,106.00,339.00,279.00,319.00,74.00,198.00,76.00,747.00,95.00,66.00,81.00,54.00,50.00,70.00,322.00,68.00,16.00,19.00,21.00
